2020-09-20-01,0.091388,0.091636,0.091071,0.09139,304118.27223507
2020-09-20-02,0.091336,0.09165,0.090841,0.091412,1266266.2819229
2020-09-20-03,0.091425,0.091548,0.090583,0.091215,353648.35283459
2020-09-20-04,0.091219,0.091798,0.091032,0.091282,386551.98486695
2020-09-20-05,0.091241,0.091627,0.091177,0.091316,297310.7366
2020-09-20-06,0.091307,0.091561,0.091184,0.091311,395330.10838156
2020-09-20-07,0.091277,0.091777,0.091195,0.091777,466914.96136133
2020-09-20-08,0.091818,0.091845,0.091105,0.09163,378906.7659
2020-09-20-09,0.091619,0.092105,0.091464,0.091729,543506.7844363
2020-09-20-10,0.091765,0.092221,0.091714,0.09202,197484.05630606
2020-09-20-11,0.091938,0.091938,0.091387,0.091879,147373.8401
2020-09-20-12,0.091904,0.092138,0.091638,0.092064,171916.3618
2020-09-20-13,0.092068,0.092217,0.091644,0.091771,304793.621
2020-09-20-14,0.091799,0.091911,0.089886,0.08989,709963.94480107
2020-09-20-15,0.089888,0.090195,0.088765,0.090115,3548299.98759166
2020-09-20-16,0.090112,0.090274,0.089656,0.089688,660435.23496487
2020-09-20-17,0.089689,0.089992,0.0893,0.089473,637749.8306
2020-09-20-18,0.089435,0.089435,0.087538,0.08884,1170471.50901551
2020-09-20-19,0.08886,0.089398,0.088557,0.08924,470611.74076074
2020-09-20-20,0.089233,0.089593,0.089031,0.089567,907933.66549848
2020-09-20-21,0.089595,0.089775,0.089027,0.08918,726327.139969
2020-09-20-22,0.089102,0.08942,0.088657,0.088657,1250860.86714701
2020-09-20-23,0.088656,0.089564,0.088259,0.089096,542384.56133151
2020-09-21-00,0.08905,0.08958,0.088001,0.089013,659962.78551658
2020-09-21-01,0.089026,0.089656,0.088964,0.089333,464422.32285809
2020-09-21-02,0.089396,0.090129,0.08886,0.089842,467938.39820774
2020-09-21-03,0.089882,0.090192,0.089435,0.089683,270104.75553903
2020-09-21-04,0.089674,0.089989,0.089382,0.089522,460912.8734
2020-09-21-05,0.089575,0.089739,0.089303,0.089579,311397.28211636
2020-09-21-06,0.089655,0.089741,0.089319,0.089363,213884.11640809
2020-09-21-07,0.089364,0.08945,0.089112,0.08942,210917.51332023
2020-09-21-08,0.089499,0.089799,0.089073,0.089123,167998.5253
2020-09-21-09,0.089116,0.089237,0.088329,0.088461,390014.00423944
2020-09-21-10,0.088413,0.088595,0.08467,0.085665,1918896.06113521
2020-09-21-11,0.085625,0.085635,0.082165,0.082385,1228877.89253424
2020-09-21-12,0.082365,0.08249,0.080506,0.082054,1290429.41574059
2020-09-21-13,0.082065,0.082393,0.080875,0.081883,514713.61327365
2020-09-21-14,0.08185,0.08185,0.080037,0.080883,1940698.70014549
2020-09-21-15,0.08081,0.082083,0.080719,0.081447,1851422.68132647
2020-09-21-16,0.08138,0.081581,0.077066,0.078647,1968877.32012037
2020-09-21-17,0.078645,0.079767,0.07853,0.079444,1232383.27013667
2020-09-21-18,0.079444,0.079881,0.078589,0.07888,1563826.18824526
2020-09-21-19,0.078915,0.079816,0.078699,0.079356,686722.91527426
2020-09-21-20,0.079326,0.080395,0.079258,0.080395,715863.35690813
2020-09-21-21,0.080382,0.080925,0.080243,0.080536,531205.29074482
2020-09-21-22,0.080462,0.081131,0.080287,0.080453,165338.16103014
2020-09-21-23,0.080375,0.081206,0.080372,0.081015,83614.8927
2020-09-22-00,0.080993,0.081199,0.080383,0.080677,73047.17181523
2020-09-22-01,0.08067,0.080833,0.079715,0.079811,279117.18336768
2020-09-22-02,0.079953,0.082068,0.079109,0.08129,454165.19158232
2020-09-22-03,0.081465,0.081465,0.080164,0.080701,136731.60464307
2020-09-22-04,0.080728,0.081322,0.080589,0.081013,340393.65911753
2020-09-22-05,0.081126,0.08128,0.080665,0.080849,105910.14590618
2020-09-22-06,0.080866,0.082767,0.080866,0.081919,266723.52760745
2020-09-22-07,0.082147,0.082276,0.08185,0.082276,185068.7960325
2020-09-22-08,0.082262,0.082643,0.080667,0.080814,268092.02578114
2020-09-22-09,0.080809,0.081351,0.079295,0.079619,640640.2793
2020-09-22-10,0.079644,0.081677,0.07964,0.081415,510717.7205
2020-09-22-11,0.081448,0.081797,0.081238,0.081546,325392.53761856
2020-09-22-12,0.081523,0.082237,0.081522,0.081958,378225.3508
2020-09-22-13,0.081954,0.082147,0.081263,0.081362,265879.2531
2020-09-22-14,0.08141,0.082188,0.081053,0.082118,1185417.543789
2020-09-22-15,0.08212,0.082572,0.081885,0.082025,561603.52185516
2020-09-22-16,0.082023,0.083337,0.081956,0.082136,620076.36745251
2020-09-22-17,0.082138,0.082594,0.08197,0.082194,485794.38757795
2020-09-22-18,0.082148,0.082991,0.082148,0.082481,999929.26528686
2020-09-22-19,0.082634,0.083188,0.082357,0.083151,154669.00740134
2020-09-22-20,0.083184,0.083279,0.082545,0.082576,252508.45545753
2020-09-22-21,0.082574,0.082643,0.081874,0.082132,185777.4586927
2020-09-22-22,0.082168,0.082254,0.081866,0.082123,174543.61026064
2020-09-22-23,0.082115,0.082354,0.081345,0.082202,177731.46901849
2020-09-23-00,0.082055,0.082095,0.081593,0.081608,79967.77771588
2020-09-23-01,0.081734,0.081734,0.081181,0.081511,143910.51672525
2020-09-23-02,0.081465,0.082596,0.081426,0.082434,187420.88021915
2020-09-23-03,0.082292,0.082696,0.082292,0.082655,78793.8106
2020-09-23-04,0.082651,0.082782,0.08228,0.08236,82604.65685062
2020-09-23-05,0.082293,0.082293,0.081512,0.081646,423817.67886001
2020-09-23-06,0.081687,0.081689,0.080849,0.080853,1013257.38626148
2020-09-23-07,0.080881,0.081301,0.080613,0.080858,1103718.0566
2020-09-23-08,0.080841,0.080932,0.079972,0.080181,434932.7003
2020-09-23-09,0.080142,0.080316,0.079334,0.080279,594111.384
2020-09-23-10,0.080279,0.080613,0.079833,0.08029,241856.4259
2020-09-23-11,0.080495,0.08101,0.080495,0.08094,139969.54026421
2020-09-23-12,0.080939,0.081011,0.080572,0.081004,239407.8586
2020-09-23-13,0.081006,0.081318,0.080792,0.080849,273805.37033757
2020-09-23-14,0.080851,0.082255,0.080655,0.081929,717828.22730573
2020-09-23-15,0.081927,0.082153,0.081522,0.081534,746863.12288403
2020-09-23-16,0.081536,0.081676,0.081016,0.081083,161296.2164
2020-09-23-17,0.081177,0.081177,0.0805,0.080824,87550.3832256
2020-09-23-18,0.080764,0.081228,0.080764,0.080879,112827.4427
2020-09-23-19,0.080904,0.080904,0.080125,0.080212,612440.82196694
2020-09-23-20,0.080215,0.080324,0.079732,0.079751,589906.2693
2020-09-23-21,0.079742,0.080011,0.077905,0.078252,1217252.64057853
2020-09-23-22,0.078165,0.078479,0.075458,0.077235,1750586.55524836
2020-09-23-23,0.077183,0.077879,0.076845,0.077507,1126959.72136487
2020-09-24-00,0.077467,0.077592,0.076635,0.07744,467384.29153059
2020-09-24-01,0.077393,0.077393,0.076132,0.076645,153496.95437836
2020-09-24-02,0.076642,0.077294,0.075557,0.076966,856057.69253597
2020-09-24-03,0.077005,0.07743,0.076757,0.077085,320216.88612391
2020-09-24-04,0.077105,0.077942,0.077025,0.077047,228501.50262754
2020-09-24-05,0.077141,0.077759,0.077015,0.077715,233412.3788
2020-09-24-06,0.077808,0.078044,0.077101,0.077134,151960.79961383
2020-09-24-07,0.077287,0.077778,0.077245,0.077398,77644.00210974
2020-09-24-08,0.077518,0.078755,0.077518,0.077808,725991.86246485
2020-09-24-09,0.077787,0.078632,0.077787,0.078462,105984.46027195
2020-09-24-10,0.078505,0.078505,0.07762,0.077743,138305.42827777
2020-09-24-11,0.07778,0.07778,0.077076,0.077533,238495.0768
2020-09-24-12,0.077537,0.078894,0.077426,0.078845,388207.92904118
2020-09-24-13,0.07885,0.079816,0.078805,0.079342,448993.5980732
2020-09-24-14,0.079344,0.079741,0.078703,0.078837,358614.69290795
2020-09-24-15,0.078838,0.079453,0.078357,0.079216,700645.649891
2020-09-24-16,0.079214,0.079695,0.079212,0.079595,330519.46154509
